Numero de documentos (preguntas) del corpus : 990
Numero de palabras del corpus: 8151
Palabra: 28 Frec: 0 LogProb: -12.036813404022116
Palabra: 28579 Frec: 0 LogProb: -12.036813404022116
Palabra: 2B Frec: 0 LogProb: -12.036813404022116
Palabra: 2D Frec: 0 LogProb: -12.036813404022116
Palabra: 2c Frec: 0 LogProb: -12.036813404022116
Palabra: 2checkout Frec: 0 LogProb: -12.036813404022116
Palabra: 2d Frec: 0 LogProb: -12.036813404022116
Palabra: 2k7 Frec: 0 LogProb: -12.036813404022116
Palabra: 2k8 Frec: 0 LogProb: -12.036813404022116
Palabra: 2n Frec: 0 LogProb: -12.036813404022116
Palabra: 2nd Frec: 0 LogProb: -12.036813404022116
Palabra: 3 Frec: 2 LogProb: -10.938201115354007
Palabra: 300 Frec: 0 LogProb: -12.036813404022116
Palabra: 301 Frec: 1 LogProb: -11.34366622346217
Palabra: 302 Frec: 0 LogProb: -12.036813404022116
Palabra: 303 Frec: 0 LogProb: -12.036813404022116
Palabra: 304 Frec: 0 LogProb: -12.036813404022116
Palabra: 30m Frec: 0 LogProb: -12.036813404022116
Palabra: 31600 Frec: 0 LogProb: -12.036813404022116
Palabra: 32 Frec: 0 LogProb: -12.036813404022116
Palabra: 3221225477 Frec: 0 LogProb: -12.036813404022116
Palabra: 32bit Frec: 0 LogProb: -12.036813404022116
Palabra: 336027900 Frec: 0 LogProb: -12.036813404022116
Palabra: 3954275 Frec: 0 LogProb: -12.036813404022116
Palabra: 3D Frec: 0 LogProb: -12.036813404022116
Palabra: 3d Frec: 0 LogProb: -12.036813404022116
Palabra: 3g Frec: 0 LogProb: -12.036813404022116
Palabra: 3m Frec: 0 LogProb: -12.036813404022116
Palabra: 3rd Frec: 0 LogProb: -12.036813404022116
Palabra: 4 Frec: 1 LogProb: -11.34366622346217
Palabra: 40 Frec: 0 LogProb: -12.036813404022116
Palabra: 400 Frec: 0 LogProb: -12.036813404022116
Palabra: 4000 Frec: 0 LogProb: -12.036813404022116
Palabra: 400K Frec: 0 LogProb: -12.036813404022116
Palabra: 401 Frec: 0 LogProb: -12.036813404022116
Palabra: 403 Frec: 1 LogProb: -11.34366622346217
Palabra: 4030 Frec: 0 LogProb: -12.036813404022116
Palabra: 4031 Frec: 0 LogProb: -12.036813404022116
Palabra: 404 Frec: 14 LogProb: -9.328763202919905
Palabra: 404s Frec: 1 LogProb: -11.34366622346217
Palabra: 405 Frec: 0 LogProb: -12.036813404022116
Palabra: 408 Frec: 0 LogProb: -12.036813404022116
Palabra: 409 Frec: 0 LogProb: -12.036813404022116
Palabra: 42S02 Frec: 0 LogProb: -12.036813404022116
Palabra: 443 Frec: 0 LogProb: -12.036813404022116
Palabra: 45 Frec: 0 LogProb: -12.036813404022116
Palabra: 46 Frec: 0 LogProb: -12.036813404022116
Palabra: 47 Frec: 0 LogProb: -12.036813404022116
Palabra: 4795e Frec: 0 LogProb: -12.036813404022116
Palabra: 4GB Frec: 0 LogProb: -12.036813404022116
Palabra: 4th Frec: 0 LogProb: -12.036813404022116
Palabra: 4x Frec: 0 LogProb: -12.036813404022116
Palabra: 5 Frec: 4 LogProb: -10.427375491588016
Palabra: 50 Frec: 0 LogProb: -12.036813404022116
Palabra: 500 Frec: 0 LogProb: -12.036813404022116
Palabra: 501 Frec: 0 LogProb: -12.036813404022116
Palabra: 502 Frec: 0 LogProb: -12.036813404022116
Palabra: 503 Frec: 0 LogProb: -12.036813404022116
Palabra: 50727 Frec: 0 LogProb: -12.036813404022116
Palabra: 55 Frec: 0 LogProb: -12.036813404022116
Palabra: 563 Frec: 0 LogProb: -12.036813404022116
Palabra: 5G Frec: 0 LogProb: -12.036813404022116
Palabra: 5pm Frec: 0 LogProb: -12.036813404022116
Palabra: 6 Frec: 3 LogProb: -10.650519042902225
Palabra: 60 Frec: 0 LogProb: -12.036813404022116
Palabra: 63 Frec: 0 LogProb: -12.036813404022116
Palabra: 64 Frec: 0 LogProb: -12.036813404022116
Palabra: 643853 Frec: 0 LogProb: -12.036813404022116
Palabra: 64bit Frec: 0 LogProb: -12.036813404022116
Palabra: 64bits Frec: 0 LogProb: -12.036813404022116
Palabra: 65536 Frec: 0 LogProb: -12.036813404022116
Palabra: 6i Frec: 0 LogProb: -12.036813404022116
Palabra: 6x Frec: 0 LogProb: -12.036813404022116
Palabra: 6x6 Frec: 0 LogProb: -12.036813404022116
Palabra: 7 Frec: 5 LogProb: -10.245053934794061
Palabra: 70 Frec: 0 LogProb: -12.036813404022116
Palabra: 700 Frec: 0 LogProb: -12.036813404022116
Palabra: 701 Frec: 0 LogProb: -12.036813404022116
Palabra: 7129 Frec: 0 LogProb: -12.036813404022116
Palabra: 77 Frec: 0 LogProb: -12.036813404022116
Palabra: 777 Frec: 0 LogProb: -12.036813404022116
Palabra: 7A2E0F92 Frec: 0 LogProb: -12.036813404022116
Palabra: 8 Frec: 6 LogProb: -10.090903254966802
Palabra: 80 Frec: 0 LogProb: -12.036813404022116
Palabra: 800 Frec: 0 LogProb: -12.036813404022116
Palabra: 8000 Frec: 0 LogProb: -12.036813404022116
Palabra: 80020009 Frec: 0 LogProb: -12.036813404022116
Palabra: 8080 Frec: 0 LogProb: -12.036813404022116
Palabra: 8859 Frec: 0 LogProb: -12.036813404022116
Palabra: 8i Frec: 0 LogProb: -12.036813404022116
